,Date,Open Price,Close Price,High Price,Low Price,Volume,Normalised Price
0,2019-12-27,7632.24,7644.9,7665.4,7622.46,307085152,0.01578709800161926
1,2019-12-30,7644.9,7587.05,7644.9,7587.05,289089056,0.011064398079584814
2,2020-01-02,7542.44,7604.3,7624.78,7542.44,471518624,0.049286185916207814
3,2020-01-03,7604.3,7622.4,7626.41,7551.0,433410880,0.026209865444086766
4,2020-01-06,7622.4,7575.34,7622.4,7528.08,507945696,0.019457822111636602
5,2020-01-07,7575.34,7573.85,7604.59,7562.14,496371744,0.03701313477600754
6,2020-01-08,7573.85,7574.93,7579.48,7524.96,586270720,0.0375689659674634
7,2020-01-09,7574.93,7598.12,7627.76,7574.93,610760128,0.03716608161392487
8,2020-01-10,7598.12,7587.85,7631.96,7585.07,598582912,0.028515259244890512
9,2020-01-13,7587.85,7617.6,7635.77,7582.51,615160256,0.03234639101418679
10,2020-01-14,7617.6,7622.35,7650.69,7588.81,639221952,0.02124841923847398
11,2020-01-15,7622.35,7642.8,7642.8,7609.44,608300096,0.019476474165040836
12,2020-01-16,7642.8,7609.81,7653.58,7595.31,549546368,0.01184778432257616
13,2020-01-17,7609.81,7674.56,7689.67,7609.81,609805568,0.024154409158904322
14,2020-01-20,7674.56,7651.44,7682.77,7639.62,340715872,0.0
15,2020-01-21,7651.44,7610.7,7651.44,7550.47,577085696,0.008624709494268523
16,2020-01-22,7610.7,7571.92,7637.35,7563.52,564406784,0.023822402608303372
17,2020-01-23,7571.92,7507.67,7572.13,7503.17,568152576,0.03828893522887944
18,2020-01-24,7507.67,7585.98,7642.21,7507.59,593412928,0.06225682385373821
19,2020-01-27,7585.98,7412.05,7585.98,7392.83,613764736,0.03304397781151758
20,2020-01-28,7412.05,7480.69,7491.44,7410.37,503797088,0.09792701078461741
21,2020-01-29,7480.69,7483.57,7514.73,7462.21,511440544,0.0723214718708386
22,2020-01-30,7483.57,7381.96,7483.57,7357.62,672044352,0.0712471135947359
23,2020-01-31,7381.96,7286.01,7398.34,7275.03,680623424,0.10915181652348116
24,2020-02-02,7286.01,7326.31,7359.98,7285.16,625059776,0.1449451070068305
25,2020-02-04,7326.31,7439.82,7442.08,7326.31,647326656,0.1299115519627556
26,2020-02-05,7439.82,7482.48,7512.41,7408.45,782508352,0.08756766032372532
27,2020-02-06,7482.48,7504.79,7533.57,7482.48,649856512,0.07165372835895534
28,2020-02-07,7504.79,7466.7,7506.26,7441.14,652801600,0.06333118212984079
29,2020-02-10,7466.7,7446.88,7466.7,7427.85,563649664,0.07754031641343417
30,2020-02-11,7446.88,7499.44,7529.54,7446.88,678217280,0.08493399038300142
31,2020-02-12,7499.44,7534.37,7547.65,7499.01,550373824,0.06532695184412884
32,2020-02-13,7534.37,7452.03,7534.37,7406.94,765546624,0.052296627335703616
33,2020-02-14,7452.03,7409.13,7472.85,7403.69,613055552,0.08301282888233186
34,2020-02-17,7409.13,7433.25,7449.95,7409.13,391946880,0.09901629070344364
35,2020-02-18,7433.25,7382.01,7433.25,7353.41,690549376,0.09001854014108424
36,2020-02-19,7382.01,7457.02,7462.01,7382.01,559936256,0.1091331644700766
37,2020-02-20,7457.02,7436.64,7480.49,7436.64,733958528,0.08115135395255657
38,2020-02-21,7436.64,7403.92,7436.7,7370.63,769009792,0.08875393092025508
39,2020-02-24,7403.92,7156.83,7403.92,7114.45,1061550784,0.10095983466819869
40,2020-02-25,7156.83,7017.88,7198.23,7004.94,914785088,0.19313455218285003
41,2020-02-26,7017.88,7042.47,7044.66,6871.85,968162944,0.24496860859412017
42,2020-02-27,7042.47,6796.4,7042.47,6729.99,1212910976,0.23579552872975795
43,2020-02-28,6796.4,6580.61,6796.4,6460.08,1967786368,0.32758974435495636
44,2020-03-02,6580.61,6654.89,6775.18,6496.01,1725714432,0.4080882764383533
45,2020-03-03,6654.89,6718.2,6846.28,6654.89,1214470528,0.38037878590053986
46,2020-03-04,6718.2,6815.59,6856.27,6700.23,1082839680,0.35676155587968705
47,2020-03-05,6815.59,6705.43,6834.12,6662.61,1120076928,0.3204310862582863
48,2020-03-06,6705.43,6462.55,6705.43,6431.44,1249399040,0.3615252903192113
49,2020-03-09,6462.55,5965.77,6462.55,5891.56,2057264000,0.4521295049371986
50,2020-03-10,5965.77,5960.23,6231.06,5927.85,1673530112,0.637448846743538
51,2020-03-11,5960.23,5876.52,6088.5,5860.75,1477612544,0.6395154942607635
52,2020-03-12,5876.52,5237.48,5876.52,5237.48,2197411840,0.6707427620706763
53,2020-03-13,5237.48,5366.11,5696.48,5237.48,1905324160,0.9091309262236682
54,2020-03-16,5366.11,5151.08,5366.11,4898.79,2058321024,0.8611466536350989
55,2020-03-17,5151.08,5294.9,5308.95,4978.84,1842474752,0.9413616745067466
56,2020-03-18,5294.9,5080.58,5294.9,5006.2,1791793152,0.8877109080938723
57,2020-03-19,5080.58,5151.61,5181.04,4942.37,1870725120,0.9676610698071753
58,2020-03-20,5151.61,5190.78,5419.3,5151.61,2446991616,0.9411639627406584
59,2020-03-23,5190.78,4993.89,5194.83,4922.76,1580528256,0.9265519441035266
60,2020-03-24,4993.89,5446.01,5446.01,4993.89,1559803776,1.0
61,2020-03-25,5446.01,5688.2,5741.42,5400.47,1733536512,0.831340672294613
