London,Bristol,Manchester,Liverpool,Birmingham,Leeds,Oxford,Glasgow,Dublin,Cardiff,Total,Date
0,0,0,0,0,0,0,0,0,0,0,2019-12-25
0,0,0,0,0,0,0,0,0,0,0,2019-12-26
0,0,0,0,0,0,0,0,0,0,0,2019-12-27
0,0,0,0,0,0,0,0,0,0,0,2019-12-28
0,0,0,0,0,0,0,0,0,0,0,2019-12-29
0,0,0,0,0,0,0,0,0,0,0,2019-12-30
0,0,0,0,0,0,0,0,0,0,0,2019-12-31
0,0,0,0,0,0,0,0,0,0,0,2020-01-01
0,0,0,0,0,0,0,0,0,0,0,2020-01-02
0,0,0,0,0,0,0,0,0,0,0,2020-01-03
0,0,0,0,0,0,0,0,0,0,0,2020-01-04
0,0,0,0,0,0,0,0,0,0,0,2020-01-05
0,0,0,0,0,0,0,0,0,0,0,2020-01-06
0,0,0,0,0,0,0,0,0,0,0,2020-01-07
0,0,0,0,0,0,0,0,0,0,0,2020-01-08
0,0,0,0,0,0,0,0,0,0,0,2020-01-09
0,0,0,0,0,0,0,0,0,0,0,2020-01-10
0,0,0,0,0,0,0,0,0,0,0,2020-01-11
0,0,0,0,0,0,0,0,0,0,0,2020-01-12
0,0,0,0,0,0,0,0,0,0,0,2020-01-13
0,0,0,0,0,0,0,0,0,0,0,2020-01-14
0,0,0,0,0,0,0,0,0,0,0,2020-01-15
0,0,0,0,0,0,0,0,0,0,0,2020-01-16
0,0,0,0,0,0,0,0,0,0,0,2020-01-17
0,0,0,0,0,0,0,0,0,0,0,2020-01-18
0,0,0,0,0,0,0,0,0,0,0,2020-01-19
0,0,0,0,0,0,0,0,0,0,0,2020-01-20
0,0.0,0,0,0,0,0,0,0,0,0.0,2020-01-21
0,0.2,0,0,0,0,0,0,0,0,0.2,2020-01-22
0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,2020-01-23
0.5,0.3333333333333333,0,0,0,0,0,0.0,0,0,0.3125,2020-01-24
0.0,0.25,1.0,0,0,0,0,0,0,0,0.2857142857142857,2020-01-25
0,0.0,0,0,0,0,0,0,0,0,0.0,2020-01-26
0.0,0.0,0,0,0,0,0,0,0,0,0.0,2020-01-27
0.2,0.0,0,0,0,0,0,0,1.0,0,0.18518518518518517,2020-01-28
0.3333333333333333,0.0,0,0,0,0,0,0.0,0,0,0.25,2020-01-29
0.20689655172413793,0.16666666666666666,0,1.0,0,0,0,0.0,0,0,0.21212121212121213,2020-01-30
0.3584905660377358,0.25,0.3333333333333333,0,0,0.0,0,0,0.0,0,0.3474576271186441,2020-01-31
0.2857142857142857,0,0,0,0,0,0,0,0,0,0.2857142857142857,2020-02-01
0.07142857142857142,0.0,0.0,0,0,0,0,0.0,0.0,0,0.05555555555555555,2020-02-02
0.3225806451612903,0.0,0,0,0,0,0,0.0,0,0,0.2702702702702703,2020-02-03
0,0,0,0,0,0,0,0,0,0,0,2020-02-04
0.25,0.0,0,0,0,0,0,0.0,0,0,0.14285714285714285,2020-02-05
0.3,0,0,0,0,0,0,0,0,0,0.3,2020-02-06
0.0,0.0,0,0,0,0,0,0,0,0,0.0,2020-02-07
0.2222222222222222,0.0,0,0.0,0,0,0,0.0,0,0,0.16666666666666666,2020-02-08
0.6,0,0,0,0,0,0,0,0,0,0.6,2020-02-09
0.16129032258064516,0.3333333333333333,0,0,0,0,0,0,0,0,0.17647058823529413,2020-02-10
0.2413793103448276,0,0,0,0,0,0,0.0,0,0,0.23333333333333334,2020-02-11
0.25,0,0,0,0,0,0,0.0,0,0,0.23333333333333334,2020-02-12
0.3125,0,0,1.0,0,0,0,0.0,0,0,0.28205128205128205,2020-02-13
0.4,0.0,0,0,0,0,0,0.14285714285714285,0,0,0.32075471698113206,2020-02-14
0,0,0,0,0,0,0,0,0,0,0,2020-02-15
0.0,0,0,0,0,0,0,0,0,0,0.0,2020-02-16
0.0,0.5,0,0,0,0,0,0,0,0,0.3333333333333333,2020-02-17
0.6666666666666666,0.0,0,0,0,0,0,0,0,0,0.5,2020-02-18
0.0,0,0,0,0,0,0,0.0,0,0,0.0,2020-02-19
1.0,0,0,0,0,0,0,0.0,0,0,0.5,2020-02-20
0,0,0,0,0,0,0,0.0,0,0,0.0,2020-02-21
0.0,0.0,0,0,0,0,0,0,0,0,0.0,2020-02-22
0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,2020-02-23
0.3611111111111111,0.0,0,0,0,0,0,0.5,0,0,0.35,2020-02-24
0.2978723404255319,0.4,0,0,0,0,0,0.25,0.4782608695652174,0,0.35443037974683544,2020-02-25
0.29411764705882354,0.0,0,0,0.0,0,0,0.0,0.42857142857142855,1.0,0.29333333333333333,2020-02-26
0.3181818181818182,0.0,0,0,0,0,0,0.0,0.3870967741935484,0,0.3092105263157895,2020-02-27
0.3008849557522124,0.2222222222222222,0.0,0,0,0,0,0.0,0.35714285714285715,0,0.2888086642599278,2020-02-28
0.35537190082644626,0,0,0,0,0,0,0.0,0.35294117647058826,0,0.3475177304964539,2020-02-29
0.2975206611570248,0.25,0.0,0.0,0,0,0,0.3333333333333333,0.25,0,0.2848101265822785,2020-03-01
0.28888888888888886,0,0.0,0,0,0,0,0.15789473684210525,0.2916666666666667,0,0.2767857142857143,2020-03-02
0.3249211356466877,0,0.1875,0.5,0.2,0,0,0.4166666666666667,0.175,0,0.30024213075060535,2020-03-03
0.26595744680851063,0.0,0.2777777777777778,0.0,0.5,0,0,0.391304347826087,0.27450980392156865,0,0.2729124236252546,2020-03-04
0.26608187134502925,0.0,0.15384615384615385,0.14285714285714285,0.4375,0,0,0.4,0.30952380952380953,0,0.2679324894514768,2020-03-05
0.340153452685422,0,0.1794871794871795,0.0,0.2222222222222222,0.0,0,0.3225806451612903,0.32075471698113206,0,0.32129277566539927,2020-03-06
0.2899628252788104,0.0,0.3333333333333333,0.0,0,0,0,0.25,0.125,0,0.26737967914438504,2020-03-07
0.24354243542435425,0.0,0.37142857142857144,0.0,0,0,0,0.30434782608695654,0.3888888888888889,0,0.2724795640326976,2020-03-08
0.2956120092378753,1.0,0.2459016393442623,0.08333333333333333,0.19047619047619047,0.0,0.0,0.4,0.296875,0.0,0.2875722543352601,2020-03-09
0.30697674418604654,0.0,0.27472527472527475,0.17647058823529413,0.15384615384615385,0.0,0.0,0.21818181818181817,0.423728813559322,0.0,0.30133333333333334,2020-03-10
0.32679738562091504,0.25,0.232,0.3728813559322034,0.30434782608695654,0.3888888888888889,0.0,0.2857142857142857,0.33070866141732286,0.36666666666666664,0.31329113924050633,2020-03-11
0.3019271948608137,0.27419354838709675,0.2908366533864542,0.28346456692913385,0.25,0.2708333333333333,0.0,0.29411764705882354,0.37790697674418605,0.26,0.3054393305439331,2020-03-12
0.33974358974358976,0.24074074074074073,0.2987012987012987,0.21774193548387097,0.2814814814814815,0.304,0.26666666666666666,0.35678391959798994,0.40625,0.22093023255813954,0.3232783153101878,2020-03-13
0.3282937365010799,0.2033898305084746,0.3163265306122449,0.35294117647058826,0.30303030303030304,0.2696629213483146,0.2727272727272727,0.3076923076923077,0.4177777777777778,0.34782608695652173,0.3296928327645051,2020-03-14
0.34763948497854075,0.2982456140350877,0.38271604938271603,0.3783783783783784,0.24390243902439024,0.28205128205128205,0.25,0.3252032520325203,0.39267015706806285,0.38596491228070173,0.34698608964451316,2020-03-15
0.3389830508474576,0.21212121212121213,0.35344827586206895,0.3007518796992481,0.2727272727272727,0.2807017543859649,0.25,0.22727272727272727,0.453125,0.2976190476190476,0.3237913486005089,2020-03-16
0.3487394957983193,0.4125,0.3485342019543974,0.3191489361702128,0.2898550724637681,0.2909090909090909,0.5,0.3141025641025641,0.42152466367713004,0.25842696629213485,0.3431712962962963,2020-03-17
0.40289256198347106,0.3888888888888889,0.33073929961089493,0.23931623931623933,0.28225806451612906,0.3684210526315789,0.125,0.3137254901960784,0.45390070921985815,0.3763440860215054,0.3586885245901639,2020-03-18
0.38755020080321284,0.25,0.3867403314917127,0.28888888888888886,0.25842696629213485,0.42168674698795183,0.5263157894736842,0.375,0.46153846153846156,0.5428571428571428,0.38559639909977494,2020-03-19
0.36016096579476864,0.41379310344827586,0.4249201277955272,0.3072916666666667,0.4482758620689655,0.30357142857142855,0.4838709677419355,0.3689839572192513,0.48986486486486486,0.4716981132075472,0.4,2020-03-20
0.3951612903225806,0.3780487804878049,0.4311594202898551,0.35443037974683544,0.3312883435582822,0.3826086956521739,0.40540540540540543,0.43529411764705883,0.45454545454545453,0.3541666666666667,0.39844617092119866,2020-03-21
0.4,0.36486486486486486,0.33480176211453744,0.32075471698113206,0.3884297520661157,0.34177215189873417,0.5185185185185185,0.3114754098360656,0.32941176470588235,0.3611111111111111,0.3636972538513061,2020-03-22
0.37,0.2988505747126437,0.37327188940092165,0.3302752293577982,0.35294117647058826,0.37349397590361444,0.2857142857142857,0.3805309734513274,0.43448275862068964,0.4246575342465753,0.37082481254260397,2020-03-23
0.36472945891783565,0.47435897435897434,0.3860759493670886,0.28,0.35,0.38571428571428573,0.3333333333333333,0.36923076923076925,0.4533333333333333,0.46551724137931033,0.38037249283667623,2020-03-24
0.37424547283702214,0.34210526315789475,0.36283185840707965,0.288135593220339,0.3412698412698413,0.33783783783783783,0.44,0.35294117647058826,0.4012345679012346,0.39759036144578314,0.36309914642153646,2020-03-25
