Date,Positive,Negative,Neutral,Normalised Negative
2019-12-25,0,0,0,0.0
2019-12-26,0,0,0,0.0
2019-12-27,0,0,0,0.0
2019-12-28,0,0,0,0.0
2019-12-29,0,0,0,0.0
2019-12-30,0,0,0,0.0
2019-12-31,0,0,0,0.0
2020-01-01,0,0,0,0.0
2020-01-02,0,0,0,0.0
2020-01-03,0,0,0,0.0
2020-01-04,0,0,0,0.0
2020-01-05,0,0,0,0.0
2020-01-06,0,0,0,0.0
2020-01-07,0,0,0,0.0
2020-01-08,0,0,0,0.0
2020-01-09,0,0,0,0.0
2020-01-10,0,0,0,0.0
2020-01-11,0,0,0,0.0
2020-01-12,0,0,0,0.0
2020-01-13,0,0,0,0.0
2020-01-14,0,0,0,0.0
2020-01-15,0,0,0,0.0
2020-01-16,0,0,0,0.0
2020-01-17,0,0,0,0.0
2020-01-18,0,0,0,0.0
2020-01-19,0,0,0,0.0
2020-01-20,0,0,0,0.0
2020-01-21,0,2,0,0.001762114537444934
2020-01-22,0,4,1,0.003524229074889868
2020-01-23,0,8,0,0.007048458149779736
2020-01-24,0,11,5,0.009691629955947136
2020-01-25,0,5,2,0.004405286343612335
2020-01-26,0,3,0,0.0026431718061674008
2020-01-27,0,2,0,0.001762114537444934
2020-01-28,2,20,5,0.01762114537444934
2020-01-29,0,12,4,0.010572687224669603
2020-01-30,1,51,14,0.044933920704845816
2020-01-31,2,75,41,0.06607929515418502
2020-02-01,0,10,4,0.00881057268722467
2020-02-02,0,17,1,0.014977973568281937
2020-02-03,0,27,10,0.02378854625550661
2020-02-04,0,0,0,0.0
2020-02-05,0,6,1,0.0052863436123348016
2020-02-06,0,7,3,0.006167400881057269
2020-02-07,0,5,0,0.004405286343612335
2020-02-08,0,10,2,0.00881057268722467
2020-02-09,0,2,3,0.001762114537444934
2020-02-10,1,27,6,0.02378854625550661
2020-02-11,0,23,7,0.02026431718061674
2020-02-12,1,22,7,0.019383259911894272
2020-02-13,0,28,11,0.024669603524229075
2020-02-14,0,36,17,0.03171806167400881
2020-02-15,0,0,0,0.0
2020-02-16,0,2,0,0.001762114537444934
2020-02-17,0,2,1,0.001762114537444934
2020-02-18,1,3,4,0.0026431718061674008
2020-02-19,0,4,0,0.003524229074889868
2020-02-20,0,1,1,0.000881057268722467
2020-02-21,0,2,0,0.001762114537444934
2020-02-22,0,3,0,0.0026431718061674008
2020-02-23,0,9,0,0.007929515418502203
2020-02-24,0,26,14,0.02290748898678414
2020-02-25,0,51,28,0.044933920704845816
2020-02-26,2,104,44,0.09162995594713656
2020-02-27,2,103,47,0.0907488986784141
2020-02-28,1,196,80,0.1726872246696035
2020-02-29,1,91,49,0.0801762114537445
2020-03-01,3,110,45,0.09691629955947137
2020-03-02,4,158,62,0.13920704845814977
2020-03-03,9,280,124,0.24669603524229075
2020-03-04,10,347,134,0.30572687224669604
2020-03-05,5,342,127,0.3013215859030837
2020-03-06,9,348,169,0.3066079295154185
2020-03-07,4,270,100,0.23788546255506607
2020-03-08,12,255,100,0.22466960352422907
2020-03-09,12,481,199,0.4237885462555066
2020-03-10,12,512,226,0.4511013215859031
2020-03-11,21,630,297,0.5550660792951542
2020-03-12,30,1132,511,0.9973568281938326
2020-03-13,54,1135,568,1.0
2020-03-14,40,942,483,0.8299559471365638
2020-03-15,37,808,449,0.7118942731277533
2020-03-16,34,1029,509,0.9066079295154185
2020-03-17,41,1094,593,0.9638766519823788
2020-03-18,40,938,547,0.826431718061674
2020-03-19,39,780,514,0.6872246696035242
2020-03-20,82,1115,798,0.9823788546255506
2020-03-21,63,1021,718,0.8995594713656387
2020-03-22,44,906,543,0.798237885462555
2020-03-23,35,888,544,0.7823788546255507
2020-03-24,44,821,531,0.7233480176211454
2020-03-25,37,933,553,0.8220264317180617
