London,Bristol,Manchester,Liverpool,Birmingham,Leeds,Oxford,Glasgow,Dublin,Cardiff,Total,Date
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-25
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-26
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-27
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-28
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-29
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019-12-31
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-01
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-02
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-03
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-04
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-05
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-06
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-07
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-08
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-09
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-10
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-17
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-18
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-19
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-01-20
-1,0.6931471805599453,-1,-1,-1,-1,-1,-1,-1,-1,0.6931471805599453,2020-01-21
-1,1.3862943611198906,-1,-1,-1,-1,-1,-1,-1,-1,1.3862943611198906,2020-01-22
0.0,1.791759469228055,-1,-1,-1,-1,-1,0.0,-1,-1,2.0794415416798357,2020-01-23
0.6931471805599453,1.791759469228055,-1,-1,-1,-1,-1,1.0986122886681098,-1,-1,2.3978952727983707,2020-01-24
0.6931471805599453,1.0986122886681098,0,-1,-1,-1,-1,-1,-1,-1,1.6094379124341003,2020-01-25
-1,1.0986122886681098,-1,-1,-1,-1,-1,-1,-1,-1,1.0986122886681098,2020-01-26
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.6931471805599453,2020-01-27
1.9459101490553132,1.791759469228055,-1,-1,-1,-1,-1,-1,0,-1,2.302585092994046,2020-01-28
2.0794415416798357,1.0986122886681098,-1,-1,-1,-1,-1,0.0,-1,-1,2.4849066497880004,2020-01-29
3.8066624897703196,1.6094379124341003,-1,0,-1,-1,-1,0.0,-1,-1,3.9318256327243257,2020-01-30
3.4965075614664802,1.0986122886681098,1.3862943611198906,-1,-1,0.0,-1,-1,0.0,-1,3.624340932976365,2020-01-31
2.302585092994046,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.302585092994046,2020-02-01
2.5649493574615367,0.0,0.0,-1,-1,-1,-1,0.0,0.0,-1,2.833213344056216,2020-02-02
3.044522437723423,0.6931471805599453,-1,-1,-1,-1,-1,1.3862943611198906,-1,-1,3.295836866004329,2020-02-03
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-02-04
1.0986122886681098,0.6931471805599453,-1,-1,-1,-1,-1,0.0,-1,-1,1.791759469228055,2020-02-05
1.9459101490553132,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.9459101490553132,2020-02-06
1.0986122886681098,0.6931471805599453,-1,-1,-1,-1,-1,-1,-1,-1,1.6094379124341003,2020-02-07
1.9459101490553132,0.0,-1,0.0,-1,-1,-1,0.0,-1,-1,2.302585092994046,2020-02-08
0.6931471805599453,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6931471805599453,2020-02-09
3.2188758248682006,0.6931471805599453,-1,-1,-1,-1,-1,-1,-1,-1,3.295836866004329,2020-02-10
3.091042453358316,-1,-1,-1,-1,-1,-1,0.0,-1,-1,3.1354942159291497,2020-02-11
2.995732273553991,-1,-1,-1,-1,-1,-1,0.6931471805599453,-1,-1,3.091042453358316,2020-02-12
3.091042453358316,-1,-1,0,-1,-1,-1,1.791759469228055,-1,-1,3.332204510175204,2020-02-13
3.1780538303479458,1.791759469228055,-1,-1,-1,-1,-1,1.791759469228055,-1,-1,3.58351893845611,2020-02-14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020-02-15
0.6931471805599453,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6931471805599453,2020-02-16
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.6931471805599453,2020-02-17
0.6931471805599453,0.0,-1,-1,-1,-1,-1,-1,-1,-1,1.0986122886681098,2020-02-18
1.0986122886681098,-1,-1,-1,-1,-1,-1,0.0,-1,-1,1.3862943611198906,2020-02-19
0,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.0,2020-02-20
-1,-1,-1,-1,-1,-1,-1,0.6931471805599453,-1,-1,0.6931471805599453,2020-02-21
0.0,0.6931471805599453,-1,-1,-1,-1,-1,-1,-1,-1,1.0986122886681098,2020-02-22
1.791759469228055,0.6931471805599453,-1,-1,-1,-1,-1,0.0,-1,-1,2.1972245773362196,2020-02-23
3.1354942159291497,0.6931471805599453,-1,-1,-1,-1,-1,0.0,-1,-1,3.258096538021482,2020-02-24
3.4965075614664802,1.0986122886681098,-1,-1,-1,-1,-1,1.0986122886681098,2.4849066497880004,-1,3.9318256327243257,2020-02-25
4.553876891600541,0.6931471805599453,-1,-1,0.0,-1,-1,1.0986122886681098,1.0986122886681098,0,3.9512437185814275,2020-02-26
4.30406509320417,1.3862943611198906,-1,-1,-1,-1,-1,1.9459101490553132,2.8903717578961645,-1,3.9415818076696905,2020-02-27
5.056245805348308,1.9459101490553132,2.4849066497880004,-1,-1,-1,-1,0.6931471805599453,2.8903717578961645,-1,5.278114659230517,2020-02-28
4.343805421853684,-1,-1,-1,-1,-1,-1,1.0986122886681098,2.3978952727983707,-1,4.51085950651685,2020-02-29
4.430816798843313,2.1972245773362196,0.0,0,-1,-1,-1,0.6931471805599453,2.6390573296152584,-1,3.6018680771243066,2020-03-01
4.143134726391533,-1,0.0,-1,-1,-1,-1,2.70805020110221,2.772588722239781,-1,3.676300671907076,2020-03-02
3.545778610473263,-1,3.2188758248682006,0.0,2.0794415416798357,-1,-1,1.9459101490553132,2.740840023925201,-1,3.43756502583303,2020-03-03
4.919980925828125,0.0,3.258096538021482,0.6931471805599453,0.0,-1,-1,2.5649493574615367,1.455287232606842,-1,3.5467396869528134,2020-03-04
4.824305715904762,0.0,3.4657359027997265,2.4849066497880004,2.1972245773362196,-1,-1,2.3978952727983707,3.332204510175204,-1,4.225372824628505,2020-03-05
3.5795427900764705,-1,3.4657359027997265,0.0,1.9459101490553132,0.6931471805599453,-1,3.044522437723423,2.833213344056216,-1,3.654977902438255,2020-03-06
4.137829674161839,0.0,2.8903717578961645,1.6094379124341003,-1,-1,-1,3.1780538303479458,3.5263605246161616,-1,4.212127597878484,2020-03-07
2.970414465569701,0.0,3.091042453358316,0.0,-1,-1,-1,2.772588722239781,2.302585092994046,-1,3.056356895370426,2020-03-08
3.9086841041626315,0,2.662587827025453,2.3978952727983707,2.833213344056216,0.0,1.9459101490553132,2.70805020110221,3.367295829986474,0.0,3.6909606203177607,2020-03-09
3.7274131181161794,1.6094379124341003,4.189654742026425,2.5649493574615367,3.044522437723423,1.0986122886681098,0.0,3.7376696182833684,4.204692619390966,1.0986122886681098,3.7534179752515073,2020-03-10
3.9219733362813143,2.8903717578961645,3.8501476017100584,2.8622008809294686,2.268683541318364,2.3978952727983707,1.3862943611198906,2.9444389791664403,2.5776883832389665,2.9444389791664403,3.4011973816621555,2020-03-11
3.3546773660272624,3.068052935133617,4.0661736852554045,4.499809670330265,4.499809670330265,4.23410650459726,1.0986122886681098,3.5553480614894135,3.125785401802189,3.6109179126442243,3.630543877100973,2020-03-12
