Word,Count
coronavirus,12637
people,2848
get,1692
via,1546
UK,1397
COVID-19,2494
We,1194
going,1089
need,1089
due,1120
help,1045
time,1019
one,1129
If,975
us,1136
I’m,944
know,823
go,818
would,842
work,773
home,820
still,794
it’s,1171
think,749
NHS,683
see,746
cases,668
Sign,754
new,846
support,680
many,694
So,628
Petition!,620
could,679
staff,614
got,671
What,583
take,692
spread,571
day,777
government,980
stay,886
BBC,565
advice,561
News,918
don’t,704
make,587
stop,622
really,619
Please,1075
health,743
everyone,624
How,528
virus,580
It,574
much,505
world,614
good,664
My,488
social,584
You,601
Just,480
I'm,480
back,475
last,527
even,553
Boris,459
way,455
getting,485
In,498
self,492
today,527
outbreak,442
keep,535
want,434
right,465
first,533
positive,418
crisis,465
next,449
working,466
safe,433
And,507
Italy,391
London,390
I’ve,386
pandemic,439
week,380
taking,375
come,418
thing,371
can’t,451
cancelled,368
close,366
may,434
say,363
every,437
days,357
around,354
No,401
public,424
also,422
Is,433
anyone,463
hands,343
well,568
year,341
hope,435
said,337
panic,368
great,503
️,328
As,327
THE,325
must,323
lockdown,354
look,375
weeks,317
made,315
But,312
country,311
response,307
risk,306
Why,302
says,302
feel,299
Not,432
closed,293
life,327
give,323
best,340
told,292
hand,291
care,291
might,324
done,290
Ireland,290
United,285
put,284
sure,282
travel,281
death,279
China,278
All,383
protect,320
When,275
Covid,569
two,346
confirmed,271
They,306
tested,268
things,268
local,306
To,441
|,266
live,305
it.,264
"coronavirus,",453
situation,263
thought,262
coming,262
needs,261
business,326
open,261
symptoms,259
never,307
actually,258
someone,310
times,287
use,255
already,253
away,253
emergency,326
free,282
frontline,248
pay,304
workers,246
toilet,244
trying,243
For,294
long,240
It's,240
buying,239
There,238
fight,236
th,236
better,236
bit,234
read,288
without,233
family,232
Kingdom,232
find,232
love,296
isolation,231
face,229
I've,229
old,228
call,338
food,228
sick,228
school,228
distancing,226
Thank,342
test,413
March,220
able,220
current,220
far,219
deaths,218
Can,217
With,257
place,217
full,257
end,216
",000",213
lot,213
🦠,213
let,267
number,213
case,212
making,212
whole,211
vulnerable,211
little,210
ever,210
Trump,210
testing,209
start,209
hospital,247
part,208
measures,208
important,248
die,206
Johnson:,206
media,204
patients,204
everything,204
show,201
Now,246
big,261
you’re,200
least,199
gonna,199
bad,197
yet,197
since,197
won’t,195
seen,193
businesses,193
latest,233
years,192
hard,191
else,191
global,228
saying,190
months,190
another,259
something,220
schools,229
person,188
looking,236
medical,224
share,187
priority.,187
together,185
amid,183
contact,183
Do,227
morning,182
others,182
enough,181
tell,178
man,219
community,209
avoid,176
wash,225
can't,216
we’re,260
believe,173
anything,173
worried,173
impact,173
children,173
fuck,238
Are,253
information,171
industry,171
real,170
Our,170
"London,",169
now.,169
pandemic.,169
that’s,254
Thanks,305
online,167
across,167
Chinese,166
team,166
follow,165
catch,165
regarding,165
spreading,164
isn’t,164
message,164
update,214
/,163
died,162
cancel,161
buy,161
using,161
–,160
hear,160
nothing,200
night,160
elderly,160
Covid-19.,319
Johnson,159
friends,158
gets,156
available,156
leave,155
light,155
He,155
this.,155
shit,155
tests,155
taken,155
watch,203
rather,154
doesn’t,153
serious,153
fucking,153
affected,153
money,153
Some,152
At,152
daily,151
set,151
video,150
today.,150
time.,150
roll,150
tomorrow,149
run,149
hit,148
flu,148
service,148
save,147
probably,147
given,147
less,146
talking,146
British,145
asked,145
hours,144
job,143
countries,143
soon,142
used,142
small,142
change,142
shut,141
following,179
makes,141
play,141
there’s,200
football,141
lives,141
always,140
high,140
difficult,140
called,138
seems,138
line,138
events,138
Petition:,138
talk,137
